"Station";"Name";"Höhe m";"Datum";"Zeit";"T °C";"TP °C";"RF %";"WR °";"WG km/h";"WSR °";"WSG km/h";"N l/m²";"LDred hPa";"LDstat hPa";"SO %"
11010;"Linz/Hörsching";298;"08-06-2020";"12:00";14,2;9,2;72;240;5,4;;13;0;1014,3;977,5;0
11012;"Kremsmünster";383;"08-06-2020";"12:00";13,4;8,2;71;39;1,4;32;9;0;1014,5;968,8;0
11022;"Retz";320;"08-06-2020";"12:00";15,4;9;66;327;9,7;323;21,6;0;1012,7;975,3;0
11035;"Wien/Hohe Warte";203;"08-06-2020";"12:00";15,9;9,8;67;299;13,3;309;29,5;0;1012,7;988,3;0
11036;"Wien/Schwechat";183;"08-06-2020";"12:00";15,6;10,5;72;310;20,5;;31,7;0;1013;991,4;0
11101;"Bregenz";424;"08-06-2020";"12:00";14,5;9,1;71;302;6,8;286;14,8;0;1011,6;960,9;36
11121;"Innsbruck";579;"08-06-2020";"12:00";14,3;8,6;69;127;11,5;134;26,3;0;1012;944,7;42
11126;"Patscherkofel";2247;"08-06-2020";"12:00";0,2;0,3;100;72;6,1;83;15,1;0;;771,1;0
11130;"Kufstein";495;"08-06-2020";"12:00";13,4;9,1;75;55;8,3;76;19,4;0,1;1013;955,8;0
11150;"Salzburg";430;"08-06-2020";"12:00";11,4;9,7;89;300;9,4;;14,8;0,6;1014,6;962,3;0
11155;"Feuerkogel";1618;"08-06-2020";"12:00";3,8;3,6;100;71;6,5;68;13,3;0,1;;834,3;0
11157;"Aigen im Ennstal";640;"08-06-2020";"12:00";11,9;8,5;80;24;12,2;28;19,1;0,1;1013,9;938,5;0
11171;"Mariazell";866;"08-06-2020";"12:00";10,9;5,7;71;330;5;344;12,6;0;1013,5;914,6;0
11190;"Eisenstadt";184;"08-06-2020";"12:00";15,5;10;70;309;17,6;318;37,1;0;1012,2;990,8;0
11204;"Lienz";659;"08-06-2020";"12:00";13;10,7;86;107;6,8;88;12,2;0;1011;934,4;0
11240;"Graz/Flughafen";340;"08-06-2020";"12:00";13,7;11,7;87;220;5,4;;13;0;1012,6;970,1;0
11244;"Bad Gleichenberg";280;"08-06-2020";"12:00";15,7;11,1;74;72;11,9;17;16,9;0;1012,6;980,9;0
11265;"Villacher Alpe";2140;"08-06-2020";"12:00";4,6;4,5;100;148;18,7;135;31,3;0,4;;780,3;0
11331;"Klagenfurt/Flughafen";447;"08-06-2020";"12:00";13,3;11,6;89;340;4;350;8,6;1;1011,7;959,1;0
11343;"Sonnblick";3105;"08-06-2020";"12:00";0,1;0,1;100;184;18,4;181;31,7;;;692,7;0
11389;"St. Pölten";270;"08-06-2020";"12:00";13,7;9,5;76;202;13;227;26,6;0;1013,7;982;0
